comID,MolecularFormula,MolecularWeight,IUPACName,smip_cand_mons,vinyl,epo,cOle,lactone,lactam,hydCOOH,aminCOOH,hindPhenol,cAnhyd,CO,HCHO,sfonediX,BzodiF,diepo,diCOOH,diol,diamin,diNCO,dicAnhyd,pridiamin,diol_b
CID174,C2H6O2,62.07,"ethane-1,2-diol",OCCO,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
CID196,C6H10O4,146.14,hexanedioic acid,O=C(O)CCCCC(=O)O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CID262,C4H10O2,90.12,"butane-2,3-diol",CC(O)C(C)O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
CID273,C5H14N2,102.18,"pentane-1,5-diamine",NCCCCCN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
CID371,C4H2O4,114.06,but-2-ynedioic acid,O=C(O)C#CC(=O)O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CID428,C3H10N2,74.13,"propane-1,3-diamine",NCCCN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
CID602,C3H7NO2,89.09,DL-alanine,CC(N)C(=O)O,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CID743,C5H8O4,132.11,pentanedioic acid,O=C(O)CCCC(=O)O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CID1017,C8H6O4,166.13,phthalic acid,O=C(O)c1ccccc1C(=O)O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CID1030,C3H8O2,76.09,"propane-1,2-diol",CC(O)CO,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
CID1045,C4H12N2,88.15,"butane-1,4-diamine",NCCCCN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
CID1066,C7H5NO4,167.12,"pyridine-2,3-dicarboxylic acid",O=C(O)c1cccnc1C(=O)O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CID1317,C10H24N2,172.31,"decane-1,10-diamine",NCCCCCCCCCCN,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
