mon1,mon2,polym,polymer_class
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,,*CC(COc1ccc(C(C)(C)c2ccc(OCC(*)CO*)cc2)cc1)O*,polyether
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,,*CC(COc1ccc(C(C)(C)c2ccc(OCC(C*)O*)cc2)cc1)O*,polyether
C1CO1,,*CCO*,polyether
CC1CO1,,*OCC(*)C,polyether
CC1CO1,,*CC(C)O*,polyether
c1ccc(C2CO2)cc1,,*OCC(*)c1ccccc1,polyether
c1ccc(C2CO2)cc1,,*CC(O*)c1ccccc1,polyether
C=CC1CCC2OC2C1,,*OC1CC(C=C)CCC1*,polyether
C=CC1CCC2OC2C1,,*OC1CCC(C=C)CC1*,polyether
CCC1CO1,,*OCC(*)CC,polyether
CCC1CO1,,*CC(CC)O*,polyether
ClCC1CO1,,*OCC(*)CCl,polyether
ClCC1CO1,,*CC(CCl)O*,polyether
C=CC(=O)OCC1CO1,,*OCC(*)COC(=O)C=C,polyether
C=CC(=O)OCC1CO1,,*CC(COC(=O)C=C)O*,polyether
C=C(C)C(=O)OCC1CO1,,*OCC(*)COC(=O)C(=C)C,polyether
C=C(C)C(=O)OCC1CO1,,*CC(COC(=O)C(=C)C)O*,polyether
C=CCOCC1CO1,,*OCC(*)COCC=C,polyether
C=CCOCC1CO1,,*CC(COCC=C)O*,polyether
C1CC2OC2C1,,*OC1CCCC1*,polyether
C1CCC2OC2C1,,*OC1CCCCC1*,polyether
C1OC1C1CO1,,*CC(O*)C(*)CO*,polyether
C1OC1C1CO1,,*CC(O*)C(C*)O*,polyether
C=CC1CO1,,*OCC(*)C=C,polyether
C=CC1CO1,,*CC(C=C)O*,polyether
COCC1CO1,,*OCC(*)COC,polyether
COCC1CO1,,*CC(COC)O*,polyether
CCCC1CO1,,*OCC(*)CCC,polyether
CCCC1CO1,,*CC(CCC)O*,polyether
C(CC1CO1)C1CO1,,*CC(CCC(*)CO*)O*,polyether
C(CC1CO1)C1CO1,,*CC(CCC(C*)O*)O*,polyether
CCCCCCCCC1CO1,,*OCC(*)CCCCCCCC,polyether
CCCCCCCCC1CO1,,*CC(CCCCCCCC)O*,polyether
C(CCOCC1CO1)COCC1CO1,,*CC(COCCCCOCC(*)CO*)O*,polyether
C(CCOCC1CO1)COCC1CO1,,*CC(COCCCCOCC(C*)O*)O*,polyether
C(CCC1CO1)CC1CO1,,*CC(CCCCC(*)CO*)O*,polyether
C(CCC1CO1)CC1CO1,,*CC(CCCCC(C*)O*)O*,polyether
CCCCOCC1CO1,,*OCC(*)COCCCC,polyether
CCCCOCC1CO1,,*CC(COCCCC)O*,polyether
O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,,*CC(Cn1c(=O)n(CC(*)CO*)c(=O)n(CC(C*)O*)c1=O)O*,polyether
O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,,*CC(Cn1c(=O)n(CC(C*)O*)c(=O)n(CC(C*)O*)c1=O)O*,polyether
CCCCC(CC)COCC1CO1,,*OCC(*)COCC(CC)CCCC,polyether
CCCCC(CC)COCC1CO1,,*CC(COCC(CC)CCCC)O*,polyether
CCCCCCCCCCCCOCC1CO1,,*OCC(*)COCCCCCCCCCCCC,polyether
CCCCCCCCCCCCOCC1CO1,,*CC(COCCCCCCCCCCCC)O*,polyether
CO[Si](CCCOCC1CO1)(OC)OC,,*OCC(*)COCCC[Si](OC)(OC)OC,polyether
CO[Si](CCCOCC1CO1)(OC)OC,,*CC(COCCC[Si](OC)(OC)OC)O*,polyether
CCCCCCCCCCC1CO1,,*OCC(*)CCCCCCCCCC,polyether
CCCCCCCCCCC1CO1,,*CC(CCCCCCCCCC)O*,polyether
CCCCCCC1CO1,,*OCC(*)CCCCCC,polyether
CCCCCCC1CO1,,*CC(CCCCCC)O*,polyether
C[N+](C)(C)CC1CO1.[Cl-],,*OCC(*)C[N+](C)(C)C,polyether
C[N+](C)(C)CC1CO1.[Cl-],,*CC(C[N+](C)(C)C)O*,polyether
CC(C)(C)c1ccc(OCC2CO2)cc1,,*OCC(*)COc1ccc(C(C)(C)C)cc1,polyether
CC(C)(C)c1ccc(OCC2CO2)cc1,,*CC(COc1ccc(C(C)(C)C)cc1)O*,polyether
BrCC1CO1,,*OCC(*)CBr,polyether
BrCC1CO1,,*CC(CBr)O*,polyether
C1CC2CC1C1OC21,,*OC1C2CCC(C2)C1*,polyether
CCCCCCCCCCCCC1CO1,,*OCC(*)CCCCCCCCCCCC,polyether
CCCCCCCCCCCCC1CO1,,*CC(CCCCCCCCCCCC)O*,polyether
CO[Si](CCC1CCC2OC2C1)(OC)OC,,*OC1CC(CC[Si](OC)(OC)OC)CCC1*,polyether
CO[Si](CCC1CCC2OC2C1)(OC)OC,,*OC1CCC(CC[Si](OC)(OC)OC)CC1*,polyether
CCOCC1CO1,,*OCC(*)COCC,polyether
CCOCC1CO1,,*CC(COCC)O*,polyether
CC(C)OCC1CO1,,*OCC(*)COC(C)C,polyether
CC(C)OCC1CO1,,*CC(COC(C)C)O*,polyether
O=C(OCC1CO1)C1CCCCC1C(=O)OCC1CO1,,*CC(COC(=O)C1CCCCC1C(=O)OCC(*)CO*)O*,polyether
O=C(OCC1CO1)C1CCCCC1C(=O)OCC1CO1,,*CC(COC(=O)C1CCCCC1C(=O)OCC(C*)O*)O*,polyether
